Unnamed: 0,id,County,Estimate!!Gini Index,year,FIPS_code
10,0500000US25021,"Norfolk County, Massachusetts",0.4751,2015,25021
11,0500000US25023,"Plymouth County, Massachusetts",0.4468,2015,25023
12,0500000US25025,"Suffolk County, Massachusetts",0.5327,2015,25025
13,0500000US25027,"Worcester County, Massachusetts",0.4496,2015,25027
0,0500000US25001,"Barnstable County, Massachusetts",0.4542,2012,25001
1,0500000US25003,"Berkshire County, Massachusetts",0.4744,2012,25003
2,0500000US25005,"Bristol County, Massachusetts",0.4487,2012,25005
3,0500000US25007,"Dukes County, Massachusetts",0.4573,2012,25007
4,0500000US25009,"Essex County, Massachusetts",0.4755,2012,25009
5,0500000US25011,"Franklin County, Massachusetts",0.4176,2012,25011
6,0500000US25013,"Hampden County, Massachusetts",0.4598,2012,25013
7,0500000US25015,"Hampshire County, Massachusetts",0.4372,2012,25015
8,0500000US25017,"Middlesex County, Massachusetts",0.4665,2012,25017
9,0500000US25019,"Nantucket County, Massachusetts",0.4955,2012,25019
10,0500000US25021,"Norfolk County, Massachusetts",0.4731,2012,25021
11,0500000US25023,"Plymouth County, Massachusetts",0.4336,2012,25023
12,0500000US25025,"Suffolk County, Massachusetts",0.5245,2012,25025
13,0500000US25027,"Worcester County, Massachusetts",0.4351,2012,25027
0,0500000US25001,"Barnstable County, Massachusetts",0.4604,2016,25001
1,0500000US25003,"Berkshire County, Massachusetts",0.4656,2016,25003
2,0500000US25005,"Bristol County, Massachusetts",0.4539,2016,25005
3,0500000US25007,"Dukes County, Massachusetts",0.5239,2016,25007
4,0500000US25009,"Essex County, Massachusetts",0.4783,2016,25009
5,0500000US25011,"Franklin County, Massachusetts",0.4438,2016,25011
6,0500000US25013,"Hampden County, Massachusetts",0.4655,2016,25013
7,0500000US25015,"Hampshire County, Massachusetts",0.464,2016,25015
8,0500000US25017,"Middlesex County, Massachusetts",0.471,2016,25017
9,0500000US25019,"Nantucket County, Massachusetts",0.46,2016,25019
10,0500000US25021,"Norfolk County, Massachusetts",0.4806,2016,25021
11,0500000US25023,"Plymouth County, Massachusetts",0.4445,2016,25023
12,0500000US25025,"Suffolk County, Massachusetts",0.5327,2016,25025
13,0500000US25027,"Worcester County, Massachusetts",0.4516,2016,25027
0,0500000US25001,"Barnstable County, Massachusetts",0.4585,2017,25001
1,0500000US25003,"Berkshire County, Massachusetts",0.464,2017,25003
2,0500000US25005,"Bristol County, Massachusetts",0.4562,2017,25005
3,0500000US25007,"Dukes County, Massachusetts",0.5096,2017,25007
4,0500000US25009,"Essex County, Massachusetts",0.4775,2017,25009
5,0500000US25011,"Franklin County, Massachusetts",0.4514,2017,25011
6,0500000US25013,"Hampden County, Massachusetts",0.4682,2017,25013
7,0500000US25015,"Hampshire County, Massachusetts",0.4597,2017,25015
8,0500000US25017,"Middlesex County, Massachusetts",0.4704,2017,25017
9,0500000US25019,"Nantucket County, Massachusetts",0.4674,2017,25019
10,0500000US25021,"Norfolk County, Massachusetts",0.4771,2017,25021
11,0500000US25023,"Plymouth County, Massachusetts",0.4468,2017,25023
12,0500000US25025,"Suffolk County, Massachusetts",0.5344,2017,25025
13,0500000US25027,"Worcester County, Massachusetts",0.4547,2017,25027
0,0500000US25001,"Barnstable County, Massachusetts",0.4553,2013,25001
1,0500000US25003,"Berkshire County, Massachusetts",0.4711,2013,25003
2,0500000US25005,"Bristol County, Massachusetts",0.4532,2013,25005
3,0500000US25007,"Dukes County, Massachusetts",0.4564,2013,25007
4,0500000US25009,"Essex County, Massachusetts",0.472,2013,25009
5,0500000US25011,"Franklin County, Massachusetts",0.42,2013,25011
6,0500000US25013,"Hampden County, Massachusetts",0.4644,2013,25013
7,0500000US25015,"Hampshire County, Massachusetts",0.4443,2013,25015
8,0500000US25017,"Middlesex County, Massachusetts",0.4706,2013,25017
9,0500000US25019,"Nantucket County, Massachusetts",0.479,2013,25019
10,0500000US25021,"Norfolk County, Massachusetts",0.4768,2013,25021
11,0500000US25023,"Plymouth County, Massachusetts",0.4376,2013,25023
12,0500000US25025,"Suffolk County, Massachusetts",0.5244,2013,25025
13,0500000US25027,"Worcester County, Massachusetts",0.4393,2013,25027
